,Player,Nation,Position,Age,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,Blocks,ShotsBlocked,PassesBlocked,Intercptions,Tkl+Int,Clearances,Errors
67,Gabriel Paulista,br BRA,DF,33-165,15.5,0.65,0.45,0.52,0.13,0.0,0.97,0.45,0.52,1.55,2.19,5.03,0.0
68,Cenk Özkacar,tr TUR,DF,23-216,15.1,1.59,0.93,1.32,0.26,0.0,1.13,0.46,0.66,0.86,2.45,5.03,0.07
69,Yarek Hernandis,es ESP,DF,19-118,5.2,,1.73,,,,,,,2.31,,,
70,César Tárrega,es ESP,DF,22-073,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
71,Raúl Albiol,es ESP,DF,38-248,22.1,1.09,0.63,0.63,0.41,0.05,1.4,1.09,0.32,0.68,1.76,4.62,0.0
72,Jorge Cuenca,es ESP,DF,24-174,19.0,1.89,1.32,1.21,0.42,0.26,1.26,0.68,0.58,1.05,2.95,5.58,0.0
73,Alberto Moreno,es ESP,DF,31-309,15.6,1.86,1.35,1.15,0.58,0.13,0.64,0.13,0.51,1.41,3.27,2.12,0.0
74,Alfonso Pedraza,es ESP,DF,28-030,12.4,2.02,0.73,1.45,0.4,0.16,1.29,0.56,0.73,1.05,3.06,1.53,0.0
75,Kiko Femenía,es ESP,DF,33-097,14.6,2.19,1.58,1.16,0.82,0.21,1.1,0.41,0.68,1.71,3.9,2.53,0.0
76,Juan Foyth,ar ARG,DF,26-118,11.8,2.2,1.27,1.53,0.68,0.0,1.44,0.34,1.1,1.02,3.22,3.73,0.0
77,Aïssa Mandi,dz ALG,DF,32-200,11.4,0.88,0.53,0.61,0.26,0.0,0.79,0.61,0.18,0.7,1.58,3.25,0.0
78,Yerson Mosquera,co COL,DF,23-007,9.7,1.86,0.82,1.24,0.52,0.1,0.93,0.21,0.72,0.82,2.68,5.26,0.0
79,Eric Bailly,ci CIV,DF,30-027,6.3,0.63,0.48,0.48,0.16,0.0,0.63,0.63,0.0,1.27,1.9,4.29,0.32
80,Matteo Gabbia,it ITA,DF,24-201,5.3,1.89,1.13,0.75,1.13,0.0,0.94,0.38,0.57,1.51,3.4,6.79,0.19
81,Carlos Romero,es ESP,DF,22-193,2.9,3.79,1.72,2.76,0.34,0.69,1.03,0.0,1.03,0.34,4.14,3.79,0.0
82,Stefan Lekovic,rs SRB,DF,20-121,0.3,0.0,0.0,0.0,0.0,0.0,3.33,3.33,0.0,0.0,0.0,3.33,0.0
83,Diego Rico,es ESP,DF,31-076,26.1,2.11,1.57,1.03,0.84,0.23,0.96,0.31,0.65,1.57,3.68,2.68,0.0
84,Gastón Álvarez,uy URU,DF,24-046,24.2,2.4,1.32,1.61,0.66,0.12,1.57,0.41,1.16,1.4,3.8,2.89,0.0
85,Omar Alderete,py PAR,DF,27-135,20.9,1.2,0.91,0.67,0.53,0.0,1.24,0.77,0.48,0.43,1.63,4.88,0.0
86,Damián Suárez,uy URU,DF,36-012,14.4,2.5,1.46,1.11,1.11,0.28,0.9,0.21,0.69,0.69,3.19,2.15,0.0
87,Domingos Duarte,pt POR,DF,29-060,10.1,0.69,0.4,0.59,0.0,0.1,0.69,0.5,0.2,0.79,1.49,2.67,0.0
88,Stefan Mitrović,rs SRB,DF,33-353,7.8,1.15,0.38,0.9,0.26,0.0,0.38,0.26,0.13,0.77,1.92,3.33,0.0
89,Gorka Rivera Alonso,es ESP,DF,19-282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,David García,es ESP,DF,30-085,25.9,1.12,0.69,0.73,0.35,0.04,1.54,0.73,0.81,0.69,1.81,4.44,0.08
91,Jesús Areso,es ESP,DF,24-312,26.5,1.47,0.72,0.75,0.45,0.26,1.25,0.53,0.72,0.57,2.04,1.96,0.0
92,Catena,es ESP,DF,29-194,24.3,1.28,0.66,1.03,0.21,0.04,0.95,0.58,0.37,0.49,1.77,4.28,0.12
93,Johan Mojica,co COL,DF,31-262,19.4,1.44,1.08,0.52,0.72,0.21,0.67,0.1,0.57,0.93,2.37,1.8,0.05
94,Juan Cruz Armada,es ESP,DF,31-286,17.4,1.38,0.75,0.8,0.52,0.06,0.8,0.4,0.4,0.63,2.01,2.18,0.06
95,Jorge Herrando,es ESP,DF,23-071,14.3,1.61,0.98,1.33,0.28,0.0,1.12,0.63,0.49,0.91,2.52,3.71,0.07
96,Unai García,es ESP,DF,32-096,6.1,1.8,1.31,1.31,0.33,0.16,0.98,0.16,0.82,1.15,2.95,2.95,0.0
97,Iñigo Arguibide,es ESP,DF,19-020,0.2,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0
98,Andoni Gorosabel,es ESP,DF,27-279,31.0,1.9,1.26,1.23,0.52,0.16,0.77,0.26,0.52,0.9,2.81,2.23,0.0
99,Rafa Marín,es ESP,DF,21-356,24.6,1.02,0.69,0.73,0.28,0.0,1.26,0.77,0.49,1.1,2.11,4.76,0.08
100,Abdel Abqar,ma MAR,DF,25-060,22.2,1.35,0.72,1.04,0.23,0.09,1.13,0.95,0.18,0.86,2.21,4.64,0.0
101,Javi López,es ESP,DF,22-129,23.8,0.92,0.5,0.46,0.34,0.13,0.88,0.29,0.59,0.42,1.34,3.15,0.04
102,Rubén Duarte,es ESP,DF,28-204,17.7,1.81,1.07,0.9,0.79,0.11,1.02,0.28,0.73,1.13,2.94,3.16,0.0
103,Aleksandar Sedlar,rs SRB,DF,32-148,10.5,1.33,0.95,0.95,0.38,0.0,0.76,0.38,0.38,1.24,2.57,4.1,0.0
104,Nahuel Tenaglia,ar ARG,DF,28-078,10.3,2.04,1.46,1.65,0.19,0.19,1.17,0.68,0.49,1.07,3.11,5.05,0.0
105,Sergio Ramos,es ESP,DF,38-040,24.0,1.67,1.08,1.17,0.42,0.08,1.17,1.04,0.13,1.46,3.13,5.46,0.00
106,Loïc Bade,fr FRA,DF,24-028,22.4,2.54,1.61,2.10,0.45,0.00,0.94,0.63,0.31,1.56,4.11,4.55,0.09
107,Jesús Navas,es ESP,DF,38-170,19.8,1.62,1.11,0.91,0.61,0.10,0.76,0.35,0.40,1.06,2.68,2.02,0.00
108,Kike Salas,es ESP,DF,22-016,14.3,2.31,1.26,1.33,0.77,0.21,1.19,0.56,0.63,1.40,3.71,5.24,0.07
109,Marcos Acuña,ar ARG,DF,32-194,12.2,1.89,1.31,1.23,0.66,0.00,0.74,0.08,0.66,0.33,2.21,1.80,0.00
110,Adrià Pedrosa,es ESP,DF,25-362,17.6,2.27,1.25,1.31,0.74,0.23,1.25,0.23,1.02,0.85,3.12,2.95,0.00
111,Juanlu Sánchez,es ESP,DF,20-268,11.5,4.61,2.96,2.70,1.57,0.35,2.09,0.61,1.48,0.96,5.57,3.04,0.00
112,Marcão,br BRA,DF,27-339,3.4,2.35,1.47,1.18,1.18,0.00,2.35,1.76,0.59,0.88,3.24,2.06,0.29
113,Tanguy Nianzou,fr FRA,DF,21-337,2.5,4.80,3.20,3.60,0.80,0.40,0.40,0.00,0.40,1.20,6.00,2.80,0.00
114,Diego Iturralde,es ESP,DF,21-023,0.4,0.00,0.00,0.00,0.00,0.00,2.50,2.50,0.00,0.00,0.00,5.00,0.00
115,Mika Màrmol,es ESP,DF,21-312,31.3,1.95,1.15,1.18,0.7,0.06,1.12,0.54,0.58,1.25,3.19,4.28,0.06
116,Sergi Cardona,es ESP,DF,24-306,29.3,2.97,1.81,1.71,0.96,0.31,1.3,0.24,1.06,1.5,4.47,3.31,0.0
117,Álex Suárez,es ESP,DF,31-052,25.5,1.84,1.22,1.1,0.55,0.2,1.14,0.47,0.67,0.63,2.47,3.14,0.0
118,Saúl Coco,gq EQG,DF,25-090,21.5,1.12,0.7,0.88,0.23,0.0,1.02,0.6,0.42,0.84,1.95,4.65,0.14
119,Julian Araujo,mx MEX,DF,22-270,14.6,2.53,1.44,1.71,0.48,0.34,1.51,1.03,0.48,0.68,3.22,3.15,0.07
