,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err
83,Lloyd Kelly,eng ENG,DF,25-214,16.2,24.0,19,10.0,9.0,5.0,19.0,9.0,10.0,10,34.0,66.0,0.0
84,Max Aarons,eng ENG,DF,24-124,13.0,29.0,19,20.0,7.0,2.0,9.0,5.0,4.0,6,35.0,25.0,0.0
85,Chris Mepham,wls WAL,DF,26-184,6.9,12.0,11,9.0,3.0,0.0,13.0,6.0,7.0,7,19.0,30.0,1.0
86,James Hill,eng ENG,DF,22-118,0.8,3.0,2,1.0,2.0,0.0,3.0,2.0,1.0,3,6.0,8.0,0.0
87,Lewis Dunk,eng ENG,DF,32-168,30.4,26.0,13,16.0,9.0,1.0,47.0,36.0,11.0,31,57.0,81.0,1.0
88,Jan Paul van Hecke,nl NED,DF,23-334,26.3,47.0,26,25.0,19.0,3.0,49.0,27.0,22.0,30,77.0,76.0,4.0
89,Joël Veltman,nl NED,DF,32-113,17.2,52.0,40,30.0,17.0,5.0,17.0,7.0,10.0,17,69.0,57.0,1.0
90,Pervis Estupiñán,ec ECU,DF,26-107,13.8,26.0,13,12.0,11.0,3.0,14.0,4.0,10.0,21,47.0,20.0,0.0
91,Igor,br BRA,DF,26-090,15.2,20.0,13,4.0,14.0,2.0,16.0,7.0,9.0,14,34.0,45.0,1.0
92,Adam Webster,eng ENG,DF,29-124,9.7,12.0,12,8.0,3.0,1.0,8.0,5.0,3.0,12,24.0,34.0,1.0
93,Jack Hinshelwood,eng ENG,DF,19-026,9.7,14.0,5,7.0,4.0,3.0,6.0,2.0,4.0,14,28.0,18.0,0.0
94,Odeluga Offiah,eng ENG,DF,21-194,1.3,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,0.0
95,Max Kilman,eng ENG,DF,26-350,36.0,47.0,21,40.0,6.0,1.0,57.0,30.0,27.0,36,83.0,174.0,4.0
96,Toti Gomes,pt POR,DF,25-112,28.8,43.0,25,31.0,8.0,4.0,37.0,17.0,20.0,25,68.0,88.0,1.0
97,Craig Dawson,eng ENG,DF,34-001,24.5,30.0,20,23.0,6.0,1.0,51.0,39.0,12.0,16,46.0,120.0,1.0
98,Santiago Bueno,uy URU,DF,25-180,8.2,13.0,7,5.0,7.0,1.0,20.0,10.0,10.0,6,19.0,31.0,0.0
99,Antonee Robinson,us USA,DF,26-273,34.4,87.0,56,55.0,25.0,7.0,53.0,6.0,47.0,78,165.0,110.0,3.0
100,Timothy Castagne,be BEL,DF,28-154,28.3,47.0,23,21.0,16.0,10.0,37.0,10.0,27.0,38,85.0,65.0,1.0
101,Calvin Bassey,ng NGA,DF,24-128,23.6,45.0,25,31.0,13.0,1.0,29.0,10.0,19.0,28,73.0,82.0,4.0
102,Tosin Adarabioyo,eng ENG,DF,26-226,18.0,21.0,11,16.0,5.0,0.0,16.0,11.0,5.0,25,46.0,80.0,0.0
103,Tim Ream,us USA,DF,36-215,15.7,18.0,9,11.0,5.0,2.0,22.0,15.0,7.0,25,43.0,56.0,2.0
104,Issa Diop,fr FRA,DF,27-119,14.8,27.0,15,21.0,5.0,1.0,25.0,17.0,8.0,15,42.0,77.0,1.0
105,Kenny Tete,nl NED,DF,28-211,8.6,22.0,15,15.0,5.0,2.0,10.0,3.0,7.0,16,38.0,33.0,0.0
106,Joachim Andersen,dk DEN,DF,27-342,36.0,53.0,33,32.0,19.0,2.0,31.0,18.0,13.0,42,95.0,192.0,1.0
107,Joel Ward,eng ENG,DF,34-191,22.0,45.0,28,26.0,18.0,1.0,17.0,10.0,7.0,14,59.0,93.0,1.0
