,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err
94,Álex Moreno,es ESP,DF,30-334,11.5,18.0,12,18.0,0.0,0.0,11.0,2.0,9.0,13,31.0,37.0,0.0
95,Nicolò Zaniolo,it ITA,"FW,MF",24-310,9.2,19.0,9,10.0,7.0,2.0,13.0,0.0,13.0,1,20.0,11.0,0.0
96,Jacob Ramsey,eng ENG,"FW,MF",22-345,9.5,16.0,8,7.0,6.0,3.0,15.0,2.0,13.0,3,19.0,8.0,0.0
97,Morgan Rogers,eng ENG,"MF,FW",21-286,7.1,8.0,1,3.0,2.0,3.0,11.0,0.0,11.0,3,11.0,11.0,0.0
98,Robin Olsen,se SWE,GK,34-120,3.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0
99,Jhon Durán,co COL,"FW,MF",20-146,4.1,5.0,4,2.0,1.0,2.0,6.0,0.0,6.0,1,6.0,8.0,0.0
100,Tim Iroegbunam,eng ENG,MF,20-312,1.6,7.0,5,4.0,2.0,1.0,3.0,0.0,3.0,2,9.0,2.0,0.0
101,Leander Dendoncker,be BEL,MF,29-022,1.3,6.0,4,3.0,2.0,1.0,5.0,2.0,3.0,2,8.0,3.0,1.0
102,Tyrone Mings,eng ENG,DF,31-055,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.0
103,Calum Chambers,eng ENG,"DF,MF",29-108,0.8,0.0,0,0.0,0.0,0.0,2.0,1.0,1.0,1,1.0,4.0,0.0
104,Philippe Coutinho,br BRA,"MF,FW",31-330,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
105,Omari Kellyman,eng ENG,FW,18-235,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
106,Bertrand Traoré,bf BFA,"DF,FW",28-244,0.1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0
107,Cameron Archer,eng ENG,MF,22-291,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
108,Jaden Philogene Bidace,eng ENG,FW,22-089,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
109,Kaine Kesler-Hayden,eng ENG,DF,21-197,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
110,Guglielmo Vicario,it ITA,GK,27-213,35.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,30.0,2.0
111,Pedro Porro,es ESP,DF,24-237,31.5,87.0,60,41.0,32.0,14.0,58.0,17.0,41.0,31,118.0,97.0,3.0
112,Son Heung-min,kr KOR,FW,31-304,29.6,17.0,11,6.0,6.0,5.0,4.0,1.0,3.0,8,25.0,4.0,0.0
113,Cristian Romero,ar ARG,DF,26-010,28.0,58.0,36,33.0,20.0,5.0,43.0,20.0,23.0,38,96.0,96.0,1.0
114,Dejan Kulusevski,se SWE,"FW,MF",24-012,28.5,60.0,31,19.0,19.0,22.0,22.0,1.0,21.0,16,76.0,2.0,1.0
115,Destiny Udogie,it ITA,DF,21-161,26.6,68.0,33,41.0,16.0,11.0,27.0,8.0,19.0,37,105.0,80.0,5.0
116,Yves Bissouma,ml MLI,MF,27-251,22.2,79.0,51,31.0,36.0,12.0,28.0,5.0,23.0,35,114.0,42.0,3.0
117,Micky van de Ven,nl NED,DF,23-018,23.0,46.0,32,33.0,10.0,3.0,20.0,14.0,6.0,17,63.0,75.0,1.0
118,Pape Matar Sarr,sn SEN,MF,21-236,20.4,31.0,22,11.0,14.0,6.0,19.0,4.0,15.0,30,61.0,27.0,1.0
119,James Maddison,eng ENG,MF,27-166,20.8,30.0,16,4.0,17.0,9.0,14.0,3.0,11.0,11,41.0,10.0,1.0
120,Brennan Johnson,wls WAL,FW,22-350,20.2,23.0,14,13.0,4.0,6.0,34.0,1.0,33.0,9,32.0,12.0,1.0
121,Richarlison,br BRA,FW,26-363,16.6,16.0,11,4.0,8.0,4.0,32.0,6.0,26.0,8,24.0,23.0,0.0
122,Ben Davies,wls WAL,DF,31-013,12.1,24.0,17,13.0,8.0,3.0,17.0,15.0,2.0,10,34.0,35.0,0.0
123,Emerson,br BRA,DF,25-114,12.7,36.0,24,23.0,10.0,3.0,23.0,10.0,13.0,20,56.0,50.0,1.0
124,Rodrigo Bentancur,uy URU,MF,26-317,9.6,21.0,14,10.0,9.0,2.0,15.0,4.0,11.0,12,33.0,15.0,1.0
125,Timo Werner,de GER,FW,28-062,9.0,7.0,4,3.0,4.0,0.0,12.0,0.0,12.0,3,10.0,2.0,0.0
126,Pierre Højbjerg,dk DEN,MF,28-276,13.3,27.0,15,10.0,15.0,2.0,21.0,7.0,14.0,19,46.0,28.0,1.0
127,Oliver Skipp,eng ENG,"MF,FW",23-234,6.8,15.0,10,7.0,5.0,3.0,12.0,1.0,11.0,2,17.0,7.0,0.0
128,Giovani Lo Celso,ar ARG,MF,28-028,5.5,21.0,12,9.0,8.0,4.0,4.0,1.0,3.0,5,26.0,2.0,0.0
129,Radu Drăgușin,ro ROU,DF,22-094,2.6,1.0,1,1.0,0.0,0.0,4.0,4.0,0.0,5,6.0,14.0,0.0
130,Bryan Gil,es ESP,"FW,MF",23-086,2.3,1.0,0,0.0,0.0,1.0,3.0,0.0,3.0,3,4.0,4.0,0.0
